,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
706-3,1.189269382,1.216295685,0.021872033,78.77191262,-4.249425977,0.021539915,0.022212716,0.021574365,0.022169702
706-4,1.18072228,1.20107453,0.021678595,78.5891012,-4.174123923,0.021314318,0.022051456,0.021344054,0.022013136
706+1,1.160045255,1.148817252,0.025254661,70.77935522,-5.114934042,0.025081373,0.025429033,0.025081952,0.02542737
706+2,1.485582517,1.394029124,0.148194231,40.6013714,-3.678487709,0.142600165,0.154139179,0.14249321,0.153895251
706+3,1.123825348,1.11318352,0.024552009,73.06158459,-5.510475813,0.024439545,0.024665308,0.024439834,0.024664185
706+4,1.111041315,1.104968634,0.023325888,74.27287617,-5.155751828,0.023170729,0.023482005,0.023171225,0.02348055
710-1,0.055022651,1.029932862,0.146810675,9.681586338,-4.335179254,0.141138369,0.152832259,0.141108293,0.152513057
710-2,0.053700578,1.066093042,0.158681468,9.651036459,-4.264623933,0.15262196,0.165092072,0.152593554,0.164769383
710-3,0.053024282,1.083052171,0.156367291,9.605532177,-4.454422646,0.151491234,0.161473552,0.151492819,0.161241763
710-4,0.052240697,1.098023191,0.151630447,9.452621854,-4.664527043,0.147862687,0.155539983,0.147880948,0.155379947
710+1,0.054818927,1.135030304,0.172046632,9.10247739,-4.212194815,0.165388669,0.179098741,0.165361231,0.178732032
710+2,0.054435516,1.211789627,0.177529284,9.117835097,-4.299895466,0.17161248,0.183747997,0.17161058,0.183447987
710+3,0.054457891,1.199529052,0.177648714,9.300189848,-4.261089014,0.171658492,0.183942948,0.171650595,0.183646833
710+4,0.054839653,1.164091583,0.161909079,9.032123014,-4.610908313,0.157961612,0.166000612,0.157982894,0.165835264
711-1,0.045279419,0.718678862,0.08453734,9.419289927,-3.152426759,0.071711363,0.101324248,0.070108399,0.098966281
711-2,0.059556026,0.584852452,0.137290307,10.75568481,-3.653999479,0.122061554,0.155502908,0.120792075,0.153788539
711-3,0.058817667,0.604127733,0.131931768,10.65602299,-3.589847244,0.116690012,0.150197999,0.115402515,0.148461022
711-4,0.680647691,0.638775251,0.124121154,15.8475398,-2.847713899,0.098874143,0.16049705,0.094521601,0.153720706
711+1,0.58705837,0.540406682,0.129261089,14.1938998,-2.281337878,0.08260986,0.245253506,0.063359002,0.195163175
711+2,-5.050636528,NA,0.044289223,-137.2566491,-2.308809253,NA,NA,0.043221753,0.045356692
711+3,0.609400786,0.563705548,0.121811382,14.84772656,-2.476436753,0.084897713,0.193534499,0.073607881,0.170014883
711+4,1.352032564,NA,0.028112001,-3.401659313,-2.046325782,NA,NA,0.021352321,0.034871681
712-1,0.05868989,1.075654837,0.071824485,13.03267188,-4.618930013,0.070252063,0.073461491,0.070245128,0.073403841
712-2,0.058915432,1.090725787,0.072278579,12.95644296,-4.577933652,0.070659203,0.073966275,0.070651192,0.073905967
712-3,0.059088661,1.081152909,0.072338893,12.80502821,-4.527524859,0.070628214,0.074124261,0.070618543,0.074059242
712-4,0.058863246,1.080192851,0.072535706,12.66880803,-4.483830671,0.070750066,0.074401702,0.070738839,0.074332574
712+1,0.059630508,1.129797032,0.072646337,12.65231453,-4.426890705,0.070793621,0.074597403,0.07077567,0.074517003
712+2,0.060180923,1.157474909,0.07380172,12.43926295,-4.392686691,0.071913579,0.07578956,0.07189555,0.07570789
712+3,1.034636709,1.014651231,0.084250969,24.88934656,-4.336846207,0.082077287,0.086509944,0.082071255,0.086430684
712+4,1.039892078,1.020686744,0.085120873,24.83823552,-4.341514274,0.082951133,0.087377719,0.0829436,0.087298147
714-1,1.262227626,1.210527286,0.093961237,52.91998724,-4.387233917,0.092273265,0.095698599,0.092261664,0.095660809
714-2,1.299419934,1.2488112,0.095728416,53.71696513,-4.258753094,0.093841031,0.097676143,0.093825383,0.097631449
714-3,1.266665525,1.216595405,0.096353708,52.84207471,-4.573005625,0.094923203,0.097818539,0.094917186,0.097790231
714-4,1.240848539,1.190790241,0.095766875,51.59416405,-4.939807731,0.094762125,0.096788368,0.094761857,0.096771894
714+1,0.060833865,1.44892972,0.097190573,39.01000661,-4.189970641,0.095207486,0.099232631,0.095193367,0.099187779
714+2,0.05907564,1.345643406,0.095632217,39.41333263,-4.105022566,0.093502229,0.097831512,0.093482875,0.097781559
714+3,0.060995146,1.402279984,0.095796587,38.85670833,-4.264096874,0.093946559,0.097698609,0.093934644,0.097658531
714+4,0.062208589,1.379573314,0.102551621,36.62398646,-4.042474213,0.099767026,0.105448691,0.099735004,0.105368238
715-1,1.13412587,1.099463224,0.107985075,26.91687417,-4.35491369,0.105422546,0.110643906,0.105413516,0.110556634
715-2,1.130188015,1.095637516,0.107453758,26.86809212,-4.331418978,0.104831868,0.110177008,0.104821244,0.110086273
715-3,1.136573661,1.096681956,0.108272915,26.68735353,-4.262855618,0.105408866,0.111206133,0.105417338,0.111128491
715-4,0.062042926,1.200027785,0.100511739,15.85422809,-3.931037827,0.096498254,0.104792124,0.096428543,0.104594936
715+1,0.066771987,1.278124955,0.099835321,15.42845066,-3.806522102,0.095531605,0.10447571,0.095434602,0.104236041
715+2,1.18473705,1.148424446,0.118993952,26.10458512,-4.757205188,0.117161473,0.12089785,0.117154282,0.120833622
715+3,1.208956912,1.172849032,0.119392454,25.87012317,-4.607648912,0.117268864,0.121524868,0.117297214,0.121487694
715+4,1.21664674,1.182543028,0.121754201,25.6408247,-4.471827733,0.119288846,0.12424896,0.119310803,0.1241976
724-1,0.038610028,0.956103491,0.038413895,11.99659965,-3.840777494,0.03714143,0.039748845,0.037121013,0.039706777
724-2,0.027327985,0.969795591,0.043109794,8.701670989,-3.456658671,0.040918447,0.045472998,0.040854559,0.045365029
724-3,0.033370676,0.977256885,0.039254171,10.48405496,-3.749711428,0.037841728,0.040741693,0.037816759,0.040691584
724-4,0.031548597,0.948358941,0.042344321,9.98055315,-3.478072361,0.040205182,0.044654595,0.040140769,0.044547872
724+1,0.020297736,0.989002147,0.031489354,9.679327806,-3.689126361,0.03032569,0.032711746,0.030306292,0.032672416
724+2,0.018723385,0.956019307,0.033762358,8.5746437,-3.451968503,0.032058002,0.03559279,0.032011306,0.035513409
724+3,0.011548737,0.996048631,0.030392333,8.589169027,-3.493576875,0.029024913,0.031845547,0.028993984,0.031790682
724+4,0.022660707,0.963699234,0.034717992,9.475565584,-3.529178887,0.033139708,0.03639972,0.033102486,0.036333497
812-1,0.047933062,0.452981183,0.048320151,10.38844178,-5.653605664,0.047476759,0.04918591,0.047478625,0.049161677
812-2,0.051144175,0.466763975,0.052375025,10.37733952,-5.882081762,0.051650796,0.053113966,0.051655292,0.053094758
812-3,0.052625222,0.442366403,0.051817081,9.980571736,-5.3743108,0.050545264,0.053136716,0.050543365,0.053090797
812-4,0.048975493,0.523289695,0.054311074,10.07284422,-5.907297079,0.053639364,0.054994956,0.053645021,0.054977127
812+1,0.047098814,0.403508377,0.058748157,9.391781602,-5.467989019,0.057051316,0.060518957,0.057053035,0.060443279
812+2,0.050322835,0.365621602,0.068292963,9.649170233,-4.478729859,0.063502637,0.073669745,0.063263787,0.07332214
812+3,0.049122358,0.40707451,0.064995883,9.640362708,-5.282030812,0.063087544,0.066993318,0.063064081,0.066927685
812+4,0.048553984,0.433991625,0.066397802,9.551318071,-4.474594361,0.062256473,0.070959897,0.06210568,0.070689925

